64000,64113,5
64000,64481,8
64000,64622,5
64000,65480,8
64000,65606,6
64113,64000,5
64113,64219,7
64113,64520,7
64113,65256,10
64113,65394,7
64113,65454,9
64113,65514,9
64179,64304,7
64179,64481,7
64179,64835,6
64179,65103,4
64179,65710,10
64219,64113,7
64219,64304,7
64219,65103,3
64219,65155,7
64219,65514,8
64219,65888,10
64219,65984,4
64303,64481,5
64303,64520,8
64303,65256,9
64303,65475,9
64303,65480,2
64303,65606,3
64304,64179,7
64304,64219,7
64304,65103,7
64304,65454,6
64304,65475,5
64304,65888,7
64481,64000,8
64481,64179,7
64481,64303,5
64481,64520,7
64481,65103,8
64481,65512,3
64520,64113,7
64520,64303,8
64520,64481,7
64520,65155,10
64520,65475,9
64520,65984,7
64622,64000,5
64622,65394,6
64622,65480,1
64622,65512,1
64622,65606,3
64714,65394,1
64714,65454,7
64835,64179,6
64835,65103,3
64835,65888,2
64835,65984,3
65103,64179,4
65103,64219,3
65103,64304,7
65103,64481,8
65103,64835,3
65103,65256,10
65103,65394,8
65103,65710,7
65155,64219,7
65155,64520,10
65256,64113,10
65256,64303,9
65256,65103,10
65256,65454,5
65256,65480,8
65256,65931,8
65394,64113,7
65394,64622,6
65394,64714,1
65394,65103,8
65394,65512,6
65394,65514,10
65394,65606,3
65394,65710,8
65394,65984,8
65454,64113,9
65454,64304,6
65454,64714,7
65454,65256,5
65454,65475,9
65475,64303,9
65475,64304,5
65475,64520,9
65475,65454,9
65475,65606,8
65475,65888,8
65475,65984,6
65480,64000,8
65480,64303,2
65480,64622,1
65480,65256,8
65480,65512,7
65480,65888,3
65480,65984,9
65512,64481,3
65512,64622,1
65512,65394,6
65512,65480,7
65512,65984,1
65514,64113,9
65514,64219,8
65514,65394,10
65606,64000,6
65606,64303,3
65606,64622,3
65606,65394,3
65606,65475,8
65710,64179,10
65710,65103,7
65710,65394,8
65888,64219,10
65888,64304,7
65888,64835,2
65888,65475,8
65888,65480,3
65931,65256,8
65984,64219,4
65984,64520,7
65984,64835,3
65984,65394,8
65984,65475,6
65984,65480,9
65984,65512,1
